0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
1656,A3538384C,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Short-term",$ Millions,Original,3
1657,A3538445W,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1658,A3538446X,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1659,A3538447A,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1660,A3538448C,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1661,A3538449F,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1662,A3538450R,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Long-term",$ Millions,Original,3
1663,A3532676W,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1664,A3532677X,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1665,A3532678A,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1666,A3532679C,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1667,A3532680L,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1668,A3532681R,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations",$ Millions,Original,3
1669,A3532082L,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1670,A3532083R,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1671,A3532084T,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1672,A3532085V,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1673,A3532086W,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1674,A3532087X,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Short-term",$ Millions,Original,3
1675,A3532778K,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1676,A3532779L,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1677,A3532780W,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1678,A3532781X,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1679,A3532782A,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1680,A3532783C,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Other financial corporations, Long-term",$ Millions,Original,3
1681,A3532010A,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1682,A3532011C,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1683,A3532012F,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1684,A3532013J,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1685,A3532014K,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1686,A3532015L,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs",$ Millions,Original,3
1687,A3532526R,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1688,A3532527T,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1689,A3532528V,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1690,A3532529W,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1691,A3532530F,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1692,A3532531J,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Short-term",$ Millions,Original,3
1693,A3532298X,"Position at beginning of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1694,A3532299A,"Changes in position reflecting - transactions ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1695,A3532300X,"Changes in position reflecting - price changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1696,A3532301A,"Changes in position reflecting - exchange rate changes ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1697,A3532302C,"Changes in position reflecting - other adjustments ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1698,A3532303F,"Position at end of period ;  OTHER INVESTMENT, Other accounts receivable, Other sectors, Nonfinancial corporations, households, and NPISHs, Long-term",$ Millions,Original,3
1699,A3532220X,Position at beginning of period ;  RESERVE ASSETS,$ Millions,Original,3
1700,A3532221A,Changes in position reflecting - transactions ;  RESERVE ASSETS,$ Millions,Original,3
1701,A3532222C,Changes in position reflecting - price changes ;  RESERVE ASSETS,$ Millions,Original,3
1702,A3532223F,Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS,$ Millions,Original,3
1703,A3532224J,Changes in position reflecting - other adjustments ;  RESERVE ASSETS,$ Millions,Original,3
1704,A3532225K,Position at end of period ;  RESERVE ASSETS,$ Millions,Original,3
1705,A3532664L,"Position at beginning of period ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1706,A3532665R,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1707,A3532666T,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1708,A3532667V,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1709,A3532668W,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1710,A3532669X,"Position at end of period ;  RESERVE ASSETS, Monetary gold",$ Millions,Original,3
1711,A3532244T,"Position at beginning of period ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1712,A3532245V,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1713,A3532246W,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1714,A3532247X,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1715,A3532248A,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1716,A3532249C,"Position at end of period ;  RESERVE ASSETS, Monetary gold, Gold bullion",$ Millions,Original,3
1717,A3532352A,"Position at beginning of period ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1718,A3532353C,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1719,A3532354F,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1720,A3532355J,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1721,A3532356K,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1722,A3532357L,"Position at end of period ;  RESERVE ASSETS, Monetary gold, Unallocated gold accounts",$ Millions,Original,3
1723,A3532472V,"Position at beginning of period ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1724,A3532473W,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1725,A3532474X,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1726,A3532475A,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1727,A3532476C,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1728,A3532477F,"Position at end of period ;  RESERVE ASSETS, Special drawing rights",$ Millions,Original,3
1729,A3532460K,"Position at beginning of period ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1730,A3532461L,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1731,A3532462R,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1732,A3532463T,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1733,A3532464V,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1734,A3532465W,"Position at end of period ;  RESERVE ASSETS, Reserve position in the IMF",$ Millions,Original,3
1735,A3532646J,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1736,A3532647K,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1737,A3532648L,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1738,A3532649R,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1739,A3532650X,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1740,A3532651A,"Position at end of period ;  RESERVE ASSETS, Other reserve assets",$ Millions,Original,3
1741,A3532136J,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1742,A3532137K,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1743,A3532138L,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1744,A3532139R,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1745,A3532140X,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1746,A3532141A,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits",$ Millions,Original,3
1747,A3532400J,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1748,A3532401K,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1749,A3532402L,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1750,A3532403R,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1751,A3532404T,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1752,A3532405V,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on monetary authorities",$ Millions,Original,3
1753,A3532754T,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1754,A3532755V,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1755,A3532756W,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1756,A3532757X,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1757,A3532758A,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1758,A3532759C,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Currency and deposits, Claims on other entities",$ Millions,Original,3
1759,A3532592L,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1760,A3532593R,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1761,A3532594T,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1762,A3532595V,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1763,A3532596W,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1764,A3532597X,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Securities",$ Millions,Original,3
1765,A3532310C,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1766,A3532311F,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1767,A3532312J,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1768,A3532313K,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1769,A3532314L,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1770,A3532315R,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities",$ Millions,Original,3
1771,A3532454R,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1772,A3532455T,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1773,A3532456V,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1774,A3532457W,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1775,A3532458X,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1776,A3532459A,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Short-term",$ Millions,Original,3
1777,A3532784F,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1778,A3532785J,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1779,A3532786K,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1780,A3532787L,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1781,A3532788R,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1782,A3532789T,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Securities, Debt securities, Long-term",$ Millions,Original,3
1783,A3532424A,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1784,A3532425C,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1785,A3532426F,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1786,A3532427J,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1787,A3532428K,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1788,A3532429L,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Securities, Equity and investment fund shares",$ Millions,Original,3
1789,A3532682T,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1790,A3532683V,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1791,A3532684W,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1792,A3532685X,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1793,A3532686A,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1794,A3532687C,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Financial derivatives",$ Millions,Original,3
1795,A3532358R,"Position at beginning of period ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1796,A3532359T,"Changes in position reflecting - transactions ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1797,A3532360A,"Changes in position reflecting - price changes ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1798,A3532361C,"Changes in position reflecting - exchange rate changes ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1799,A3532362F,"Changes in position reflecting - other adjustments ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1800,A3532363J,"Position at end of period ;  RESERVE ASSETS, Other reserve assets, Other claims",$ Millions,Original,3
1801,A3528424X,Position at beginning of period ;  FOREIGN LIABILITIES,$ Millions,Original,3
1802,A3528425A,Changes in position reflecting - transactions ;  FOREIGN LIABILITIES,$ Millions,Original,3
1803,A3528426C,Changes in position reflecting - price changes ;  FOREIGN LIABILITIES,$ Millions,Original,3
1804,A3528427F,Changes in position reflecting - exchange rate changes ;  FOREIGN LIABILITIES,$ Millions,Original,3
1805,A3528428J,Changes in position reflecting - other adjustments ;  FOREIGN LIABILITIES,$ Millions,Original,3
1806,A3528429K,Position at end of period ;  FOREIGN LIABILITIES,$ Millions,Original,3
1807,A3528832K,Position at beginning of period ;  DIRECT INVESTMENT,$ Millions,Original,3
1808,A3528833L,Changes in position reflecting - transactions ;  DIRECT INVESTMENT,$ Millions,Original,3
1809,A3528834R,Changes in position reflecting - price changes ;  DIRECT INVESTMENT,$ Millions,Original,3
1810,A3528835T,Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT,$ Millions,Original,3
1811,A3528836V,Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT,$ Millions,Original,3
1812,A3528837W,Position at end of period ;  DIRECT INVESTMENT,$ Millions,Original,3
1813,A3528214A,"Position at beginning of period ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1814,A3528215C,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1815,A3528216F,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1816,A3528217J,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1817,A3528218K,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1818,A3528219L,"Position at end of period ;  DIRECT INVESTMENT, Equity and investment fund shares",$ Millions,Original,3
1819,A3528514C,"Position at beginning of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1820,A3528515F,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1821,A3528516J,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1822,A3528517K,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1823,A3528518L,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1824,A3528519R,"Position at end of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investment enterprises to direct investor",$ Millions,Original,3
1825,A3528238V,"Position at beginning of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1826,A3528239W,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1827,A3528240F,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1828,A3528241J,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1829,A3528242K,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1830,A3528243L,"Position at end of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Direct investor to direct investment enterprises (reverse investment)",$ Millions,Original,3
1831,A3528244R,"Position at beginning of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1832,A3528245T,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1833,A3528246V,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1834,A3528247W,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1835,A3528248X,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1836,A3528249A,"Position at end of period ;  DIRECT INVESTMENT, Equity and investment fund shares, Between fellow enterprises",$ Millions,Original,3
1837,A3528610C,"Position at beginning of period ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1838,A3528611F,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1839,A3528612J,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1840,A3528613K,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1841,A3528614L,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1842,A3528615R,"Position at end of period ;  DIRECT INVESTMENT, Debt instruments",$ Millions,Original,3
1843,A3528520X,"Position at beginning of period ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1844,A3528521A,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1845,A3528522C,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1846,A3528523F,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1847,A3528524J,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1848,A3528525K,"Position at end of period ;  DIRECT INVESTMENT, Debt instruments, Direct investment enterprises liabilities to direct investor",$ Millions,Original,3
1849,A3528736K,"Position at beginning of period ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1850,A3528737L,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1851,A3528738R,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1852,A3528739T,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1853,A3528740A,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1854,A3528741C,"Position at end of period ;  DIRECT INVESTMENT, Debt instruments, Direct investor liabilities to direct investment enterprises (reverse investment)",$ Millions,Original,3
1855,A3528880C,"Position at beginning of period ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1856,A3528881F,"Changes in position reflecting - transactions ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1857,A3528882J,"Changes in position reflecting - price changes ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1858,A3528883K,"Changes in position reflecting - exchange rate changes ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1859,A3528884L,"Changes in position reflecting - other adjustments ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1860,A3528885R,"Position at end of period ;  DIRECT INVESTMENT, Debt instruments, Between fellow enterprises",$ Millions,Original,3
1861,A3528316R,Position at beginning of period ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
1862,A3528317T,Changes in position reflecting - transactions ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
1863,A3528318V,Changes in position reflecting - price changes ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
1864,A3528319W,Changes in position reflecting - exchange rate changes ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
1865,A3528320F,Changes in position reflecting - other adjustments ;  PORTFOLIO INVESTMENT,$ Millions,Original,3
